N,m,Method,rejection_rate
100,5,CCA,0.14
100,5,Composites,0.08
100,5,GPCA,0.08
100,5,PCA,0.04
100,5,Regression,0.14
100,5,Spatial Average,0.08
100,10,CCA,0.14
100,10,Composites,0.12
100,10,GPCA,0.14
100,10,PCA,0.18
100,10,Regression,0.1
100,10,Spatial Average,0.16
100,15,CCA,0.08
100,15,Composites,0.12
100,15,GPCA,0.06
100,15,PCA,0.04
100,15,Regression,0.12
100,15,Spatial Average,0.06
100,30,CCA,0.06
100,30,Composites,0.1
100,30,GPCA,0.04
100,30,PCA,0.12
100,30,Regression,0.12
100,30,Spatial Average,0.18
100,55,CCA,0.08
100,55,Composites,0.08
100,55,GPCA,0.04
100,55,PCA,0.08
100,55,Regression,0.1
100,55,Spatial Average,0.1
100,95,CCA,0.06
100,95,Composites,0.1
100,95,GPCA,0.14
100,95,PCA,0.16
100,95,Regression,0.1
100,95,Spatial Average,0.16
100,170,CCA,0.1
100,170,Composites,0.12
100,170,GPCA,0.1
100,170,PCA,0.18
100,170,Regression,0.18
100,170,Spatial Average,0.1
100,310,CCA,0.18
100,310,Composites,0.1
100,310,GPCA,0.1
100,310,PCA,0.1
100,310,Regression,0.16
100,310,Spatial Average,0.1
100,555,CCA,0.08
100,555,Composites,0.12
100,555,GPCA,0.16
100,555,PCA,0.1
100,555,Regression,0.12
100,555,Spatial Average,0.1
100,1000,CCA,0.16
100,1000,Composites,0.04
100,1000,GPCA,0.06
100,1000,PCA,0.1
100,1000,Regression,0.12
100,1000,Spatial Average,0.1
129,5,CCA,0.1
129,5,Composites,0.06
129,5,GPCA,0.08
129,5,PCA,0.06
129,5,Regression,0.06
129,5,Spatial Average,0.08
129,10,CCA,0.08
129,10,Composites,0.12
129,10,GPCA,0.06
129,10,PCA,0.16
129,10,Regression,0.1
129,10,Spatial Average,0.14
129,15,CCA,0.14
129,15,Composites,0.04
129,15,GPCA,0.1
129,15,PCA,0.1
129,15,Regression,0.02
129,15,Spatial Average,0.12
129,30,CCA,0.04
129,30,Composites,0.12
129,30,GPCA,0.1
129,30,PCA,0.12
129,30,Regression,0.1
129,30,Spatial Average,0.1
129,55,CCA,0.08
129,55,Composites,0.06
129,55,GPCA,0.1
129,55,PCA,0.04
129,55,Regression,0.04
129,55,Spatial Average,0.04
129,95,CCA,0.08
129,95,Composites,0.06
129,95,GPCA,0.06
129,95,PCA,0.02
129,95,Regression,0.06
129,95,Spatial Average,0.02
129,170,CCA,0.04
129,170,Composites,0.08
129,170,GPCA,0.1
129,170,PCA,0.08
129,170,Regression,0.14
129,170,Spatial Average,0.14
129,310,CCA,0.06
129,310,Composites,0.1
129,310,GPCA,0.16
129,310,PCA,0.14
129,310,Regression,0.18
129,310,Spatial Average,0.16
129,555,CCA,0.24
129,555,Composites,0.1
129,555,GPCA,0.16
129,555,PCA,0.06
129,555,Regression,0.12
129,555,Spatial Average,0.0
129,1000,CCA,0.3
129,1000,Composites,0.06
129,1000,GPCA,0.24
129,1000,PCA,0.1
129,1000,Regression,0.14
129,1000,Spatial Average,0.18
166,5,CCA,0.08
166,5,Composites,0.08
166,5,GPCA,0.12
166,5,PCA,0.08
166,5,Regression,0.06
166,5,Spatial Average,0.06
166,10,CCA,0.08
166,10,Composites,0.02
166,10,GPCA,0.12
166,10,PCA,0.02
166,10,Regression,0.04
166,10,Spatial Average,0.04
166,15,CCA,0.06
166,15,Composites,0.02
166,15,GPCA,0.1
166,15,PCA,0.04
166,15,Regression,0.04
166,15,Spatial Average,0.06
166,30,CCA,0.04
166,30,Composites,0.06
166,30,GPCA,0.1
166,30,PCA,0.02
166,30,Regression,0.04
166,30,Spatial Average,0.0
166,55,CCA,0.12
166,55,Composites,0.06
166,55,GPCA,0.2
166,55,PCA,0.02
166,55,Regression,0.08
166,55,Spatial Average,0.04
166,95,CCA,0.08
